
Sony Corporation,Last: 83.4,Change:  0.11
Date: 7 ottobre 2023 alle ore 12:09 GMT-4,Bid: 83.3,Ask: 84.46,Size: 3*1,Volume: 379.595
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Nov 03 2023,SONY231103C00081000,0,0,3.4,3.7,0,0.2429,0.6761,0.0648,0,81.00,SONY231103P00081000,2.2,0,1.15,1.3,0,0.244,-0.328,0.066,2
Fri Nov 03 2023,SONY231103C00082000,2.15,0,2.75,2.95,0,0.2275,0.6102,0.0711,4,82.00,SONY231103P00082000,0,0,1.45,1.7,0,0.2256,-0.3956,0.0728,0
Fri Nov 03 2023,SONY231103C00083000,2.38,-0.045,2.2,2.4,1,0.2355,0.5376,0.0754,4,83.00,SONY231103P00083000,3,0,1.9,2.1,0,0.2334,-0.4703,0.0776,12
Fri Nov 03 2023,SONY231103C00084000,1.27,0,1.65,1.85,0,0.2188,0.4616,0.0766,1,84.00,SONY231103P00084000,2.43,-0.095,2.3,2.7,1,0.2243,-0.549,0.0795,0
Fri Nov 03 2023,SONY231103C00085000,1.3,0,1.25,1.4,0,0.2212,0.3864,0.0746,104,85.00,SONY231103P00085000,0,0,2.75,3.7,0,0.2575,-0.6276,0.078,0
Fri Nov 03 2023,SONY231103C00086000,0.72,0,0.95,1.1,0,0.2243,0.316,0.0695,5,86.00,SONY231103P00086000,4.85,0,3.5,3.9,0,0.225,-0.7017,0.0736,2
Fri Nov 10 2023,SONY231110C00081000,0,0,4.3,4.6,0,0.3077,0.6395,0.048,0,81.00,SONY231110P00081000,0,0,1.45,2.2,0,0.2814,-0.3644,0.0489,0
Fri Nov 10 2023,SONY231110C00082000,0,0,3.7,3.9,0,0.3001,0.5907,0.0508,0,82.00,SONY231110P00082000,2.5,0,2.25,2.45,0,0.2923,-0.4142,0.0518,5
Fri Nov 10 2023,SONY231110C00083000,3.5,0,3.1,3.3,0,0.2928,0.5392,0.0527,2,83.00,SONY231110P00083000,0,0,2.7,3.1,0,0.2997,-0.4671,0.054,0
Fri Nov 10 2023,SONY231110C00084000,0,0,2.4,2.85,0,0.278,0.4861,0.0537,0,84.00,SONY231110P00084000,0,0,3.1,3.4,0,0.2822,-0.5217,0.0552,0
Fri Nov 10 2023,SONY231110C00085000,2.05,-0.5,1.55,2.35,246,0.29,0.4327,0.0535,4,85.00,SONY231110P00085000,0,0,3.7,4.1,0,0.289,-0.577,0.0554,0
Fri Nov 10 2023,SONY231110C00086000,1.46,0,1.5,1.95,0,0.2718,0.3802,0.0523,3,86.00,SONY231110P00086000,0,0,4.3,4.8,0,0.2906,-0.6315,0.0544,0
Fri Nov 17 2023,SONY231117C00070000,0,0,13.1,13.9,0,0.2479,0.9248,0.0133,0,70.00,SONY231117P00070000,0.42,0,0.3,0.4,0,0.372,-0.0758,0.0134,2
Fri Nov 17 2023,SONY231117C00075000,7.79,0,9.1,9.3,0,0.3182,0.8436,0.0255,3,75.00,SONY231117P00075000,0.92,0,0.7,0.8,0,0.3237,-0.1578,0.0258,162
Fri Nov 17 2023,SONY231117C00080000,5.21,0,5.2,5.4,0,0.2943,0.6853,0.0427,2,80.00,SONY231117P00080000,2.02,0,1.75,1.85,0,0.2947,-0.3196,0.0437,263
Fri Nov 17 2023,SONY231117C00085000,2.49,-0.11,2.4,2.55,10,0.2773,0.4449,0.0514,45,85.00,SONY231117P00085000,4.3,0,3.9,4.1,0,0.2788,-0.5689,0.0538,17
Fri Nov 17 2023,SONY231117C00090000,0.96,-0.04,0.85,1,2,0.2695,0.2245,0.0391,291,90.00,SONY231117P00090000,8.4,0,6.7,7.6,0,0.2139,-0.8046,0.0431,4
Fri Nov 17 2023,SONY231117C00095000,0.3,0,0.25,0.35,0,0.2708,0.1033,0.0221,3244,95.00,SONY231117P00095000,0,0,11.6,12.7,0,0.3079,-0.9414,0.0269,0
Fri Nov 24 2023,SONY231124C00081000,0,0,4.1,5.6,0,0.2861,0.6378,0.0434,0,81.00,SONY231124P00081000,0,0,1.85,2.65,0,0.2803,-0.368,0.0445,0
Fri Nov 24 2023,SONY231124C00082000,0,0,4.1,4.5,0,0.2836,0.5937,0.0456,0,82.00,SONY231124P00082000,0,0,2.5,3,0,0.2864,-0.4134,0.047,0
Fri Nov 24 2023,SONY231124C00083000,0,0,3.5,4.1,0,0.2898,0.5475,0.0473,0,83.00,SONY231124P00083000,0,0,2.9,3.5,0,0.2842,-0.4613,0.0489,0
Fri Nov 24 2023,SONY231124C00084000,0,0,2.65,3.6,0,0.2737,0.4999,0.0482,0,84.00,SONY231124P00084000,0,0,3.4,3.9,0,0.2782,-0.5109,0.0502,0
Fri Nov 24 2023,SONY231124C00085000,0,0,2.35,3.1,0,0.2723,0.4518,0.0484,0,85.00,SONY231124P00085000,0,0,3.9,4.2,0,0.2638,-0.5613,0.0507,0
Fri Nov 24 2023,SONY231124C00086000,0,0,2.1,2.6,0,0.2776,0.4042,0.0478,0,86.00,SONY231124P00086000,0,0,4.5,4.8,0,0.2619,-0.6115,0.0504,0
