
Sony Corporation,Last: 83.4,Change:  0.11
Date: 7 ottobre 2023 alle ore 12:07 GMT-4,Bid: 83.3,Ask: 84.46,Size: 3*1,Volume: 379.595
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Oct 06 2023,SONY231006C00081000,0.95,-1.15,1.05,2.7,1,2.8019,0.9984,0.0076,16,81.00,SONY231006P00081000,0.05,0,0,0.05,22,1.9503,-0.0016,0.0076,31
Fri Oct 06 2023,SONY231006C00082000,1.2,-0.025,0.75,1.4,6,1.5959,0.9904,0.0601,21,82.00,SONY231006P00082000,0.7,0,0,0.05,0,1.1255,-0.0096,0.0601,25
Fri Oct 06 2023,SONY231006C00083000,0.15,-0.4,0,0.15,53,0.3162,0.4753,2.9051,231,83.00,SONY231006P00083000,1.65,0,0,0.1,0,0.1818,-0.5247,2.9051,34
Fri Oct 06 2023,SONY231006C00084000,0.05,-0.1,0,0.05,3,1.1266,0.0038,0.0299,331,84.00,SONY231006P00084000,0.98,-0.095,0.75,1.3,3,0,-0.9962,0.0299,11
Fri Oct 06 2023,SONY231006C00085000,0.05,0,0,0.1,0,2.2327,0.0005,0.0029,94,85.00,SONY231006P00085000,2.8,0,1.05,3.3,0,3.4674,-0.9995,0.0029,2
Fri Oct 06 2023,SONY231006C00086000,0.05,0,0,0.1,1,3.0318,0.0001,0.0006,52,86.00,SONY231006P00086000,3.5,0,1.65,3.9,0,0,-0.9999,0.0006,1
Fri Oct 13 2023,SONY231013C00081000,1.7,0,2.15,2.55,0,0.2612,0.7634,0.1028,20,81.00,SONY231013P00081000,0.63,0.13,0.35,0.45,1,0.2538,-0.2376,0.1034,27
Fri Oct 13 2023,SONY231013C00082000,1.68,-0.245,1.65,1.85,2,0.248,0.6602,0.1344,13,82.00,SONY231013P00082000,0.7,-0.075,0.6,0.7,5,0.2417,-0.3416,0.1355,15
Fri Oct 13 2023,SONY231013C00083000,1.2,-0.1,1.05,1.15,20,0.2311,0.5183,0.1569,3,83.00,SONY231013P00083000,0.95,-0.2,0.95,1.1,31,0.2304,-0.4853,0.1588,13
Fri Oct 13 2023,SONY231013C00084000,0.7,-0.1,0.55,0.7,52,0.2267,0.3634,0.1497,18,84.00,SONY231013P00084000,1.95,0.275,1.55,1.65,2,0.231,-0.6427,0.1526,14
Fri Oct 13 2023,SONY231013C00085000,0.4,-0.075,0.3,0.4,7,0.224,0.2398,0.1185,11,85.00,SONY231013P00085000,1.25,0,2.15,2.35,0,0.2129,-0.7687,0.1218,8
Fri Oct 13 2023,SONY231013C00086000,0.2,-0.075,0.1,0.25,6,0.2239,0.1594,0.0859,14,86.00,SONY231013P00086000,1.7,0,2.7,3.2,0,0,-0.8509,0.0891,13
Fri Oct 20 2023,SONY231020C00081000,2.6,0,2.65,2.95,0,0.2276,0.7143,0.0849,2,81.00,SONY231020P00081000,1.05,0,0.7,0.8,0,0.2445,-0.2875,0.0857,169
Fri Oct 20 2023,SONY231020C00082000,1.6,0,2.1,2.25,0,0.2379,0.6286,0.1001,55,82.00,SONY231020P00082000,1.3,0,0.95,1.1,0,0.2406,-0.3744,0.1014,355
Fri Oct 20 2023,SONY231020C00083000,1.6,-0.15,1.5,1.65,3,0.235,0.5252,0.1097,82,83.00,SONY231020P00083000,1.41,-0.115,1.35,1.5,14,0.2296,-0.4796,0.1117,168
Fri Oct 20 2023,SONY231020C00084000,1.25,0,1.05,1.2,3,0.2317,0.4156,0.1089,37,84.00,SONY231020P00084000,2.3,0,1.9,2.05,0,0.2256,-0.5916,0.1115,61
Fri Oct 20 2023,SONY231020C00085000,0.67,-0.18,0.7,0.8,1,0.2279,0.3162,0.0978,160,85.00,SONY231020P00085000,3.88,0,2.55,2.65,0,0.2244,-0.6936,0.1009,632
Fri Oct 20 2023,SONY231020C00086000,0.8,0,0.4,0.55,0,0.2247,0.2372,0.0817,28,86.00,SONY231020P00086000,4.1,0,3.2,3.4,0,0.213,-0.775,0.0851,4
Fri Oct 27 2023,SONY231027C00081000,0,0,3.1,3.4,0,0.2464,0.6906,0.0731,0,81.00,SONY231027P00081000,1.03,-0.02,0.75,1.05,5,0.243,-0.3124,0.0742,5
Fri Oct 27 2023,SONY231027C00082000,2.7,0,2.45,2.65,0,0.24,0.6162,0.0822,3,82.00,SONY231027P00082000,0,0,0.8,1.4,0,0.2334,-0.3882,0.0837,0
Fri Oct 27 2023,SONY231027C00083000,2.15,0.05,1.3,2.05,2,0.2272,0.532,0.088,2,83.00,SONY231027P00083000,1.69,-0.085,1.6,1.85,5,0.23,-0.4744,0.0901,3
Fri Oct 27 2023,SONY231027C00084000,1.79,0,1.35,1.55,0,0.2196,0.4433,0.089,1,84.00,SONY231027P00084000,3.13,0,2.1,2.35,0,0.2282,-0.5657,0.0917,5
Fri Oct 27 2023,SONY231027C00085000,0.95,-0.225,1,1.15,10,0.2266,0.3575,0.0844,1,85.00,SONY231027P00085000,1.55,0,2.6,2.9,0,0.2177,-0.6547,0.0878,4
Fri Oct 27 2023,SONY231027C00086000,0.63,0,0.7,0.85,0,0.2268,0.2811,0.0757,12,86.00,SONY231027P00086000,4.88,0,3.4,3.7,0,0.2229,-0.7345,0.0797,3
